Bee Number,Lineage,Does the bee have DWV?
001,no data,
002,no data,
003,no data,
004,no data,
005,no data,has DWV
006,no data,has DWV
007,no data,has DWV
008,African,has DWV
009,African,has DWV
010,no data,
011,no data,
012,African,not infected with DWV
013,African,has DWV
014,African,
015,African,has DWV
016,African,has DWV
017,African,has DWV
018,European,has DWV
019,African,has DWV
020,no data,
021,African,has DWV
022,no data,has DWV
023,African,has DWV
023,European,has DWV
024,African,has DWV
025,European,has DWV
026,African,has DWV
027,African,has DWV
028,no data,
029,no data,
030,European,has DWV
031,African,has DWV
032,African,
033,African,has DWV
034,European,no RNA 
035,European,has DWV
036,African,has DWV
037,European,has DWV
038,no data,
039,African,has DWV
040,African,has DWV
041,African,has DWV
042,no data,has DWV
043,no data,has DWV
044,African,not infected with DWV
045,African,has DWV
046,no data,
047,African,
048,African,has DWV
049,African,has DWV
050,African,has DWV
051,African,has DWV
052,African,has DWV
053,African,has DWV
054,African,has DWV
055,African,has DWV
056,African,has DWV
057,no data,not infected with DWV
058,no data,
059,no data,
060,African,not infected with DWV
060,African,has DWV
061,no data,
062,African,has DWV
063,African,has DWV
064,no data,
065,no data,has DWV
066,African,has DWV
067,African,has DWV
068,African,has DWV
069,European,has DWV
070,African,has DWV
071,no data,
072,European,has DWV
073,European,has DWV
074,African,has DWV
075,African,has DWV
076,African,has DWV
077,no data,has DWV
078,no data,
079,other,has DWV
080,no data,has DWV
081,European,has DWV
082,African,has DWV
083,African,has DWV
084,African,has DWV
085,European,has DWV
086,European,not infected with DWV
087,no data,has DWV
088,no data,has DWV
089,African,has DWV
090,African,has DWV
091,European,has DWV
092,African,has DWV
093,African,has DWV
094,African,has DWV
095,no data,has DWV
096,African,has DWV
097,African,has DWV
098,European,has DWV
099,African,has DWV
100,African,has DWV
101,African,has DWV
102,African,has DWV
103,no data,has DWV
104,no data,has DWV
105,African,has DWV
106,no data,has DWV
107,no data,has DWV
108,European,has DWV
109,African,has DWV
110,African,has DWV
111,African,has DWV
112,European,has DWV
113,European,has DWV
114,no data,has DWV
115,African,has DWV
116,no data,
117,no data,
118,European,has DWV
119,African,has DWV
120,African,has DWV
121,African,has DWV
122,no data,
123,no data,
124,African,has DWV
125,no data,
126,no data,
127,African,not infected with DWV
128,African,has DWV
129,African,has DWV
130,European,has DWV
131,African,has DWV
132,African,has DWV
133,European,has DWV
134,European,has DWV
135,African,has DWV
136,other,has DWV
137,African,has DWV
138,African,has DWV
139,European,has DWV
140,no data,
141,African,has DWV
141,other,
142,African,has DWV
143,European,has DWV
144,African,has DWV
145,African,not infected with DWV
146,European,not infected with DWV
147,no data,has DWV
148,African,has DWV
149,African,has DWV
150,no data,
151,African,has DWV
152,African,has DWV
153,African,has DWV
154,European,has DWV
155,European,has DWV
155,African,has DWV
156,European,has DWV
157,European,has DWV
158,European,has DWV
159,European,not infected with DWV
160,European,has DWV
161,European,has DWV
162,no data,has DWV
163,European,no RNA 
164,no data,
165,European,has DWV
166,European,has DWV
167,European,has DWV
168,European,has DWV
169,European,has DWV
170,European,not infected with DWV
171,European,has DWV
172,European,has DWV
173,European,not infected with DWV
173,European,has DWV
174,European,has DWV
175,European,has DWV
176,European,has DWV
177,European,has DWV
178,African,has DWV
179,European,not infected with DWV
180,European,
181,no data,has DWV
182,European,has DWV
183,European,has DWV
184,African,has DWV
184,African,not infected with DWV
185,European,has DWV
186,European,has DWV
187,European,has DWV
188,no data,
189,European,has DWV
190,European,has DWV
191,no data,
192,African,has DWV
193,European,has DWV
194,other,has DWV
194,African,has DWV
195,European,has DWV
196,European,not infected with DWV
197,European,has DWV
198,no data,has DWV
199,European,has DWV
200,European,has DWV
201,African,has DWV
202,African,has DWV
203,other,has DWV
204,European,has DWV
205,European,has DWV
206,no data,has DWV
207,African,has DWV
208,African,has DWV
209,no data,has DWV
210,European,has DWV
211,other,has DWV
212,European,has DWV
213,European,has DWV
213,other,has DWV
214,European,has DWV
214,African,has DWV
215,European,has DWV
215,African,has DWV
216,European,has DWV
217,European,has DWV
217,African,has DWV
218,African,has DWV
219,European,has DWV
220,African,has DWV
220,European,has DWV
221,African,has DWV
221,other,has DWV
222,European,has DWV
222,other,has DWV
223,no data,
224,no data,
225,no data,
226,no data,
227,no data,
228,no data,
229,no data,
230,no data,not infected with DWV
231,European,has DWV
232,no data,
233,other,has DWV
234,African,has DWV
235,European,has DWV
236,European,has DWV
237,no data,has DWV
238,African,has DWV
239,no data,has DWV
240,African,not infected with DWV
241,no data,
242,African,has DWV
243,African,has DWV
244,other,has DWV
245,no data,has DWV
246,African,not infected with DWV
247,European,has DWV
248,other,has DWV
249,European,has DWV
250,African,has DWV
251,no data,
252,African,has DWV
253,European,has DWV
254,European,has DWV
255,European,has DWV
256,European,has DWV
257,African,has DWV
258,European,has DWV
259,European,has DWV
260,European,not infected with DWV
261,European,has DWV
262,European,has DWV
263,European,has DWV
264,European,has DWV
265,no data,has DWV
266,European,has DWV
267,European,has DWV
268,European,has DWV
269,European,has DWV
270,European,has DWV
271,European,has DWV
272,European,has DWV
273,European,has DWV
274,European,has DWV
275,European,not infected with DWV
276,no data,
277,European,has DWV
278,no data,
279,European,not infected with DWV
280,European,has DWV
280,European,has DWV
281,European,has DWV
282,no data,has DWV
283,European,has DWV
284,European,has DWV
285,European,has DWV
286,no data,has DWV
287,no data,not infected with DWV
288,European,has DWV
289,no data,has DWV
290,European,has DWV
291,European,has DWV
292,European,has DWV
293,European,has DWV
294,European,not infected with DWV
295,European,has DWV
296,European,has DWV
297,no data,
298,European,not infected with DWV