Bee Number,Wing Length (in pixels),Abdmen length (in pixels)),Body length (in pixels)),Could you see pollen baskets?,Could you see the stinger ?,What did the wings look like?,Notes about be (e.g. was the head missing?)
218,824,636,1249,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,The bee looks normal
218,724,753,1146,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"it was very shriveled up, the head was present but looked very small"
219,739,559,1368,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,It looks like there's missing legs?
219,804,588,1276,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,"The stinger is visible, pollen basket is empty, and wings are normal. The head wasn't missing."
219,804,588,1276,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,"The head wasn't missing, stinger was visible, pollen basket was empty, and wings are normal."
220,872,804,1390,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,The bee was fully intact 
220,702,780,1153,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Couldn't tell if the elongated thing at the end of the bee was a stinger. I put no because it did not look like one.
220,605,1001,1104,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Deformed Wings,
221,764,735,1165,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,n/a
221,890,619,1620,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,N/A
221,891,619,1620,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,head was intact 
221,736,809,1206,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,no
222,868,568,1480,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Nothing
222,871,526,1005,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,Can not see left sife legs
222,800,580,1271,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
223,770,611,1185,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
223,793,709,1179,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,normal looking bee
223,972,747,1190,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,n/a
224,808,323,1491,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Head is intact
224,779,894,1156,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
224,733,836,1401,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc).",Normal wings,
225,858,611,1142,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,none
225,887,642,1252,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"Looked fine. There was some white fuzziness on bee's abdomen. The legs were scrunched up, so it was difficult to determine how many there were/ if there were any missing."
225,662,629,918,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"No notes, it was a very cute bee."
226,810,657,1527,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
226,797,610,1084,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,None
226,725,577,1277,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,First bee had long stinger
227,830,624,1170,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Observed with classmates and concluded stinger was not seen. Pollen baskets were not seen and wings were normal. 
227,791,577,1190,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Deformed Wings,N/A
227,682,519,1096,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
228,729,624,1095,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
228,773,703,1335,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
228,750,588,1056,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
229,826,899,1618,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
229,811,655,1231,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,its wings were the largest out of all the bees I observed and measured.
229,826,899,1618,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
229,867,640,1366,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,The head was not missing.
230,757,553,1593,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,"No stinger, 2 legs"
230,780,534,1267,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,N/A
230,762,629,2146,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,No
231,656,558,1234,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,It did not look as shriveled up
231,670,597,1996,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,Only 2 legs were present.
231,893,713,713,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,
232,854,869,2207,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
232,751,703,1478,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
233,655,574,1236,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
233,754,529,1005,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
233,767,656,1303,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
234,721,729,1325,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
234,603/648 (two visible wings),619,1093,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,none
234,751,204,1180,Could not tell (back legs missing),"Yes, I saw the stinger",Normal wings,Nothing was missing. The fourth leg was hard to see.
235,912,550,1190,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
235,877,495,1141,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,His legs were extended 
235,3216,2116,4459,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,
236,736,310,612,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Bee looks normal.
236,747,911,1495,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,The bee's body was in tact.
236,740,581,1184,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,NA
237,829,574,1246,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,The first bee looked just like a normal bee but it was hard to see how many legs it had. 
237,744,546,1090,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
237,832,581,1105,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
238,542,617,1056,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,bee was intact
238,724,586,1196,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
239,736,937,1607,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
239,721,561,1307,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
239,624,687,1317,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
240,774,544,1206,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,NA
240,774,842,1479,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,
240,766,522,1259,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,N/A
241,898,630,1201,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,
241,897,703,1219,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,No notes
241,904,663,1225,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,body was cut in half
242,824,1127,1776,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,Normal
242,821,558,1207,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,The bee looks smaller than usual
242,814,1064,1454,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,head was also present but it looked very sharp with a (tongue?) sticking out. the wings were also very long.
243,637,745,1095,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Looks normal.
243,761,550,943,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,"The head wasn't missing, pollen basket was empty, the stinger wasn't visible. The wings were normal."
243,761,550,943,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,"The head wasn't missing, stinger was invisible, pollen basket was empty, and wings are normal."
244,820,684,1396,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,The body was missing a few legs
244,629,866,1495,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,No
244,832,828,751,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Deformed wings,
245,715,624,1148,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,Not sure if the pollen basket is there is unclear.
245,889,530,1741,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,N/A
245,832,605,1157,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,no
245,889,530,1741,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,
246,619,610,1171,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Nothing
246,633,619,1107,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,Wings are damaged but not deformed
246,683,464,1163,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
247,879,580,1228,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
247,896,534,1406,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,part of the abdamon was partially missing
247,975,986,1382,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Deformed wings,n/a
248,777,465,1142,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Head is intact
248,873,669,917,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Deformed wings,
248,667,533,1246,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
249,873,526,1139,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,none
249,823,601,1232,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"For the most part, it looks fine. Like bee 225, the legs are scrunched up, so it is difficult to determine the amount of legs. There is some white fuzziness around the head."
249,731,539,1144,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"No notes, another cute bee"
250,793,683,1387,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
250,795,609,1114,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,None
250,732,656,1103,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Deformed wings,wings were partly destroyed
251,826,637,1341,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Stinger was observed with classmates and concluded no stinger to be seen. Wings also appeared to be normal and had no pollen baskets. 
251,804,519,1260,Could not tell (back legs missing),"No, I did NOT see the stinger",Deformed wings,N/A
251,780,485,1116,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,the legs looks either cut short or missing 
252,878,633,1394,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
252,773,703,1078,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
252,847,534,1217,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
253,761,681,1283,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
253,622,684,1077,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc.)",Normal wings,Its abdomen length and wing length were about nearly the 'same' lengths.
253,761,681,1283,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
253,802,588,1395,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,The head was not missing.
254,780,323,1423,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Deformed wings,
254,719,586,1324,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
254,3265,1923,4327,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,The thorax and abdomen are separated 
254,796,588,1044,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,No
255,472,662,1109,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,It looked pretty ordinary compared to other bees seen by the table.
255,748,321,1064,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"Extremely shriveled torso, but wings were straight."
255,720,596,596,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc.)",Normal wings,
256,874,414,1339,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,part of the abdomen was missing
256,840,424,1062,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
257,846,546,1607,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
257,837,486,1087,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
257,843,657,1263,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
258,742,735,1505,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
258,457,513,1091,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,none
259,844,529,1103,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
259,869,540,1092,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,I looked like it curled up 
259,883,705,1278,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,It looked like it got smashed 
260,154,285,515,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"Bee body is intact, nothing to note"
260,787,767,843,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,The bee's body was in tact.
260,820,563,1165,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,NA
261,852,578,1243,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,The stinger was missing
261,797,511,1034,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
261,834,643,1100,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
262,755,565,949,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
262,763,532,978,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"The wings seemed to be broken, but not deformed. "
263,843,611,1506,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
263,793,497,1268,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
263,786,607,1309,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
264,922,482,1129,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,NA
264,904,650,1266,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,
264,850,504,1119,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,N/A
265,698,392,955,Could not tell (back legs missing),"No, I did NOT see the stinger",Deformed wings,Looks like a zombie. No idea what those 4 tendril looming things on its face were.
265,662,393,997,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Deformed Abdomen
265,697,386,1128,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,missing head 
266,725,722,1566,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,Normal
266,714,476,1077,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,The legs are missing
266,442,694,1073,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,the head was there but there seemed to be a (tongue?) sticking out. the wings were normal but looked a bit damaged. I noticed a bit of fuzz around the legs but I don't think it was the pollen basket.
267,772,450,1253,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Looks like it's missing an antennae.
267,880,573,1195,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,"The stinger was visible, pollen basket are empty, and wings were normal, the head wasn't missing."
267,880,573,1195,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,"The head wasn't missing, stinger was visible, pollen basket was empty, and wings are normal."
268,773,490,1333,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,The tongue of the bee was sticking out.
268,1710,702,658,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,No
268,725,577,1097,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Deformed wings,
269,771,653,1406,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,n/a
269,824,458,1258,Could not tell (back legs missing),"Yes, I saw the stinger",Deformed wings,The head was detached. 
269,781,551,1177,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,no
270,782,422,1043,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Nothing.
270,786,549,980,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,
270,751,429,1094,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
271,678,482,1150,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"slighty smaller body, scrunched up"
271,682,629,1156,Could not tell (back legs missing),"Yes, I saw the stinger",Normal wings,very crumpled
271,987,490,1538,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc.)",Normal wings,n/a
272,811,473,1066,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Head is intact
272,793,501,912,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
272,628,491,1111,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
273,854,539,1047,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Deformed wings,turing grey or white color
273,846,602,1209,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Deformed wings,There was white fuzziness around the whole bee. The wings are thin.
273,738,581,1177,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc.)",Deformed wings,"Small brown spot on abdomen, head barely visible."
274,823,722,1397,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
274,837,615,1274,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,None
274,785,584,1101,Could not tell (back legs missing),"No, I did NOT see the stinger",Deformed wings,some legs were missing and other legs were destroyed
275,750,489,1167,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Smallest of the three bees in terms of body length (total length). Wings looked normal and stinger was unknown. 
275,659,459,1066,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,N/A
275,649,445,1018,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
276,855,556,919,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
276,859,535,1201,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
276,920,920,1063,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
277,775,620,1537,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,head was separated from body
277,750,918,1321,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"The head was missing, it was detached from its body."
277,775,620,1537,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Head separated from body
277,754,545,1693,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,The head was in the picture but it was detached.
278,591,335,1883,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Deformed wings,
278,643,452,1092,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,
278,706,377,1128,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,No
279,723,605,1125,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"It was severely shriveled compared to the bees I examined, its body was not as spread out and free."
279,896,384,1109,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,Very shriveled body; normal wings
279,942,534,534,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
280,1134,461,1267,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Part of the abdomen was missing
280,765,447,934,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
281,717,635,1165,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
281,818,571,1109,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
281,837,767,1274,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
282,770,621,1107,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Its head was detached from the body 
282,412,523,984,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,none
283,830,593,1321,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
283,822,695,1138,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,n/a
283,841,835,1676,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,I think it was missing a leg or it was just hard to see
283,3182,2456,4856,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,
284,613,151,362,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,Bee was smaller than the other two of my bees.
284,780,861,1127,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"The bee was in tact, but looked more shriveled up than the other bees."
284,646,509,1157,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,NA
285,804,717,1109,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,The wings looked normal however they did look like they were starting to become deformed. 
285,785,508,1021,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
285,831,617,1070,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
286,596,529,1072,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,there were these weird yellow straw looking things coming from its head
286,776,477,1202,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
287,752,801,1850,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
287,653,499,1157,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
287,674,563,1256,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
289,796,540,1883,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,